,Name,Calories,Carbs,Fats,Proteins,Fiber,Cholestrol,Sugar
85,Indian Basmati Rice,179,39.0,0.5,4.2,0.5,0,0
86,Tandoori Indian Prawns Bhuna,152,8.0,8.0,10.0,2.0,0,0
87,Masala Peas Snack Mix,140,4.0,14.0,1.0,1.0,0,2
88,Spicy Honey Mustard,150,16.0,9.0,1.0,2.0,0,7.0
89,Indian Veggie Masala Entree,380,62.0,9.0,11.0,10.0,15,14
90,Indian Corn,140,35.0,0.0,0.0,0.0,0,0
91,"Indian Mango Chutney, bottled",50,12.5,0.0,0.0,0.0,0,11.5
92,Puppodums Spicy Indian Crackers,80,13.0,0.0,6.0,4.0,0,0
93,Balti Chicken Indian Takeaway,362,16.1,16.1,28.1,0.0,0,0
94,"Tuna, Mild Indian Curry",118,6.4,5.4,10.9,0.0,0,0
95,Summer Picnic Bbq,150,16.0,9.0,1.0,2.0,0,7.0
96,Smoked Mackerel,365,1.5,30.0,21.8,1.2,0,0
97,Balti Indian Sauce,25,2.5,1.4,0.3,0.3,0,0
98,"Indian Samosa Wrap, frozen",250,35.0,9.0,8.0,4.0,0,2
99,Tonic Water,4,0.0,0.0,0.0,0.0,0,0
100,Indian Tonic Water,26,6.2,0.0,0.0,0.0,0,0
101,Indian Chana Masala,462,82.0,9.1,13.0,11.0,0,0
102,Indian Butter Chicken,490,61.0,18.0,21.0,2.5,89.0,0
103,Plain Indian To Go Poppadoms,32,3.4,1.4,1.4,0.7,0,0
104,Paneer Indian Cheese,90,0.5,8.0,6.0,0.0,25.0,0
105,Ghee,120,0.0,14.0,0.0,0.0,35,0
106,Indian Cooking Sauce,110,12.0,6.0,2.0,2.0,0,3
107,Mumbai Mix,160,9.0,12.0,6.0,2.0,0,1
108,Caramel Popcorn,110,26.0,0.0,1.0,1.0,0,22
109,Indian Vegetable Korma,310,41.0,12.0,9.0,7.0,0,7
110,Indian Vegetable Drumsticks,20,3.0,0.0,2.0,2.0,0,0
111,Indian Corn Candy,140,35.0,0.0,0.0,0.0,0,27
112,Indian Corn Candy,140,35.0,0.0,0.0,0.0,0,27
113,Natural Applesauce,86,22.2,0.2,0.2,1.5,0,18.6
114,Indian Vegetable Korma,310,41.0,12.0,9.0,7.0,0,7
115,Kettlecorn,90,15.0,3.5,1.0,1.0,0,4
116,Garlic Naan,150,24.0,4.0,4.0,2.0,0,1
117,Indian Mattar Tofu,280,40.0,8.0,12.0,5.0,0,5
118,Indian Tonic Water,70,18.0,0.0,0.0,0.0,0,18
119,Grape Juice,160,40.0,0.0,0.0,0.0,0,39
120,Indian Snacks Mixture,260,23.0,15.0,8.0,1.0,0,0
121,Ham Steaks,60,1.0,2.5,9.0,0.0,30,1
122,Indian Tonic Water,30,7.6,0.0,0.0,0.0,0,5.8
123,Spinach Wrap,290,46.0,7.0,6.0,2.0,0,2
124,Kettle Corn,130,21.0,5.0,1.0,2.0,0,6
125,Tandoori Naan,150,24.0,4.0,4.0,2.0,0,1
126,Indian-style Yogurt,130,11.0,6.0,7.0,0.0,25,9
127,Kettle Corn,130,21.0,5.0,1.0,2.0,0,6
128,Fafda,45,9.0,0.0,2.0,1.0,0,0
